prvdr_num,prvdr_name,prvdr_address,city,state,prov_region,zip,CBSA_CD,MSA_CD,ownership,urban_rural,teaching,UCN,beds_grp,org_npi_num,IDN,IDN_parent,Covid_payment
330043,SOUTHSIDE HOSPITAL,301 EAST MAIN STREET,BAY SHORE,NY,NORTHEAST,11706,35004,35004,PRIVATE (NOT FOR PROFIT),URBAN,YES,2561,300-399,1457369381,Northwell Health (AKA: North Shore Long Island Jewish Health System),NA,73397848.26
330119,LENOX HILL HOSPITAL,100 EAST 77TH STREET,NEW YORK,NY,NORTHEAST,10021,35614,35614,PRIVATE (NOT FOR PROFIT),URBAN,YES,2494,500+,1477616571,Northwell Health (AKA: North Shore Long Island Jewish Health System),NA,72745268.56
330286,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,1000 MONTAUK HIGHWAY,WEST ISLIP,NY,NORTHEAST,11795,35004,35004,CHURCH,URBAN,YES,5974,400-499,1902865355,Catholic Health Services of Long Island,Long Island Health Network,68043098.52
70025,HARTFORD HOSPITAL,80 SEYMOUR STREET,HARTFORD,CT,NORTHEAST,6102,25540,25540,PRIVATE (NOT FOR PROFIT),URBAN,YES,7434,500+,1902834880,Hartford HealthCare (AKA: Hartford Healthcare Corporation),NA,67127805.3
330233,BROOKDALE HOSPITAL MEDICAL CENTER,1 BROOKDALE PLAZA,BROOKLYN,NY,NORTHEAST,11212,35614,35614,PRIVATE (NOT FOR PROFIT),URBAN,YES,24813,500+,1346380870,NA,NA,66309962
90011,MEDSTAR WASHINGTON HOSPITAL CENTER,110 IRVING STREET NW,WASHINGTON,DC,SOUTH,20010,47894,47894,OTHER (SPECIFY),URBAN,YES,4079,500+,1548378235,MedStar Health,MedStar Health,66262560.52
140281,NORTHWESTERN MEMORIAL HOSPITAL,251 E HURON ST,CHICAGO,IL,MIDWEST,60611,16974,16974,PRIVATE (NOT FOR PROFIT),URBAN,YES,3467,500+,1497859649,Northwestern Medicine (AKA: Northwestern Memorial Healthcare),Northwestern Medicine (AKA: Northwestern Memorial Healthcare),66058129.52
100022,JACKSON MEMORIAL HOSPITAL,1611 NW 12TH AVE,MIAMI,FL,SOUTH,33136,33124,33124,HOSPITAL DISTRICT OR AUTHORITY,URBAN,YES,4901,500+,1225033020,Jackson Health System (FL),NA,62267599.78
310015,MORRISTOWN MEDICAL CENTER,100 MADISON AVE,MORRISTOWN,NJ,NORTHEAST,7960,35084,35084,PRIVATE (NOT FOR PROFIT),URBAN,YES,2448,500+,1053384776,Atlantic Health System,NA,61375593.77
330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,NORTHEAST,11237,35614,35614,PRIVATE (NOT FOR PROFIT),URBAN,YES,2544,300-399,1700886322,NA,NA,59878471
330193,FLUSHING HOSPITAL MEDICAL CENTER,45TH AVENUE AND PARSONS BOULEVARD,FLUSHING,NY,NORTHEAST,11355,35614,35614,PRIVATE (NOT FOR PROFIT),URBAN,YES,211528,200-299,1154461622,MediSys Health Network,NA,59748789.74
310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,NORTHEAST,7902,35084,35084,PRIVATE (NOT FOR PROFIT),URBAN,YES,2447,500+,1740254143,Atlantic Health System,NA,58376048.87
140119,RUSH UNIVERSITY MEDICAL CENTER,1653 WEST CONGRESS PARKWAY,CHICAGO,IL,MIDWEST,60612,16974,16974,PRIVATE (NOT FOR PROFIT),URBAN,YES,3472,000-099,1932213600,Rush (AKA Rush Health),NA,58096125.79
310002,NEWARK BETH ISRAEL MEDICAL CENTER,201 LYONS AVE,NEWARK,NJ,NORTHEAST,7112,35084,35084,PRIVATE (NOT FOR PROFIT),URBAN,YES,2419,500+,1215027966,Barnabas Health,RWJ Barnabas Health,57304114.72
50257,GOOD SAMARITAN HOSPITAL,901 OLIVE DRIVE,BAKERSFIELD,CA,WEST,93308,12540,12540,PRIVATE (FOR PROFIT),URBAN,NO,47523,000-099,1205852209,NA,NA,55018642.29
50380,GOOD SAMARITAN HOSPITAL,2425 SAMARITAN DRIVE,SAN JOSE,CA,WEST,95124,41940,41940,PRIVATE (FOR PROFIT),URBAN,NO,3908,400-499,1437103777,HCA Far West Division,Hospital Corporation of America (HCA),55018642.29
50471,GOOD SAMARITAN HOSPITAL,1225 WILSHIRE BOULEVARD,LOS ANGELES,CA,WEST,90017,31084,31084,PRIVATE (FOR PROFIT),URBAN,YES,3784,400-499,1508859323,NA,NA,55018642.29
100262,GOOD SAMARITAN HOSPITAL,PALM BEACH LAKES AT FLAGER DR,WEST PALM BEACH,FL,SOUTH,33401,48424,48424,PRIVATE (NOT FOR PROFIT),URBAN,YES,NA,300-399,NA,NA,NA,55018642.29
150042,GOOD SAMARITAN HOSPITAL,520 S 7TH ST,VINCENNES,IN,MIDWEST,47591,99915,15,OTHER (SPECIFY),RURAL,YES,9467,100-199,1225032881,NA,NA,55018642.29
360052,GOOD SAMARITAN HOSPITAL,2222 PHILADELPHIA DRIVE,DAYTON,OH,MIDWEST,45406,19380,19380,CHURCH,URBAN,YES,4130,500+,1952471914,Premier Health (FKA: Premier Health Partners),NA,55018642.29
360134,GOOD SAMARITAN HOSPITAL,375 DIXMYTH AVENUE,CINCINNATI,OH,MIDWEST,45220,17140,17140,PRIVATE (NOT FOR PROFIT),URBAN,YES,4129,500+,1508835828,TriHealth,Catholic Health Initiatives (CHI),55018642.29
70010,BRIDGEPORT HOSPITAL,267 GRANT STREET,BRIDGEPORT,CT,NORTHEAST,6610,14860,14860,PRIVATE (NOT FOR PROFIT),URBAN,YES,7470,400-499,1649260845,Yale New Haven Health System,NA,54531311.58
450233,BRIDGEPORT HOSPITAL,1301 HALSELL ST,BRIDGEPORT,TX,SOUTH,76026,23104,23104,PRIVATE (FOR PROFIT),URBAN,NO,NA,000-099,NA,NA,NA,54531311.58
230165,ASCENSION ST JOHN HOSPITAL,22101 MOROSS RD,DETROIT,MI,MIDWEST,48236,19804,19804,CHURCH,URBAN,YES,42839,500+,1023088168,St John Providence Health System,Ascension Health,53812464
330045,HUNTINGTON HOSPITAL,270 PARK AVENUE,HUNTINGTON,NY,NORTHEAST,11743,35004,35004,PRIVATE (NOT FOR PROFIT),URBAN,YES,2562,400-499,1508845322,Northwell Health (AKA: North Shore Long Island Jewish Health System),NA,53533241.49
330028,RICHMOND UNIVERSITY MEDICAL CENTER,355 BARD AVENUE,STATEN ISLAND,NY,NORTHEAST,10310,35614,35614,PRIVATE (NOT FOR PROFIT),URBAN,YES,5962,400-499,1740389154,NA,NA,51718227
220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,NORTHEAST,2215,14454,14454,PRIVATE (NOT FOR PROFIT),URBAN,YES,39813,500+,1548202641,Beth Israel Deaconess Health System,CareGroup Healthcare System,51284542.24
110011,TANNER MEDICAL CENTER - CARROLLTON,705 DIXIE STREET,CARROLLTON,GA,SOUTH,30117,12060,12060,HOSPITAL DISTRICT OR AUTHORITY,URBAN,NO,4779,100-199,1801883780,Tanner Health System,NA,51224580
360163,CHRIST HOSPITAL,2139 AUBURN AVENUE,CINCINNATI,OH,MIDWEST,45219,17140,17140,PRIVATE (NOT FOR PROFIT),URBAN,YES,3139,500+,1780633289,Christ Hospital System (AKA: The Christ Hospital Health Network),NA,49684213.55
490007,SENTARA NORFOLK GENERAL HOSPITAL,600 GRESHAM DR,NORFOLK,VA,SOUTH,23507,47260,47260,OTHER (SPECIFY),URBAN,YES,9140,500+,1437119310,Sentara Healthcare,NA,49300000
330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,NY,NORTHEAST,10457,35614,35614,PRIVATE (NOT FOR PROFIT),URBAN,YES,2512,400-499,1548367873,NA,NA,48363499.89
310073,JERSEY SHORE UNIVERSITY MEDICAL CENTER,1945 RTE 33,NEPTUNE,NJ,NORTHEAST,7754,35614,35614,PRIVATE (NOT FOR PROFIT),URBAN,YES,5949,500+,1346247368,Meridian Health,Hackensack Meridian Health,46940608.17
390174,THOMAS JEFFERSON UNIVERSITY HOSPITAL,111 SOUTH 11TH STREET,PHILADELPHIA,PA,NORTHEAST,19107,37964,37964,PRIVATE (NOT FOR PROFIT),URBAN,YES,49619,500+,1215916002,Jefferson Health,Jefferson Health,46769457.68
410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,PROVIDENCE,RI,NORTHEAST,2903,39300,39300,PRIVATE (NOT FOR PROFIT),URBAN,YES,7362,500+,1588659528,Lifespan,NA,45237299.42
110007,PHOEBE PUTNEY MEMORIAL HOSPITAL,417 THIRD AVENUE,ALBANY,GA,SOUTH,31703,10500,10500,HOSPITAL DISTRICT OR AUTHORITY,URBAN,YES,4829,500+,1992789721,Phoebe (FKA: Phoebe Putney Health System),NA,43809094.74
310009,CLARA MAASS MEDICAL CENTER,ONE CLARA MAASS DRIVE,BELLEVILLE,NJ,NORTHEAST,7109,35084,35084,PRIVATE (NOT FOR PROFIT),URBAN,YES,2418,400-499,1902901333,Barnabas Health,RWJ Barnabas Health,42916404.11
270023,COMMUNITY MEDICAL CENTER,2827 FORT MISSOULA RD,MISSOULA,MT,WEST,59804,33540,33540,PRIVATE (NOT FOR PROFIT),URBAN,YES,3411,100-199,1346642899,RCCH HealthCare Partners (FKA RegionalCare Hospital Partners),RCCH HealthCare Partners (FKA RegionalCare Hospital Partners),42903249.56
310041,COMMUNITY MEDICAL CENTER,99 RT 37 WEST,TOMS RIVER,NJ,NORTHEAST,8755,35614,35614,PRIVATE (NOT FOR PROFIT),URBAN,NO,5958,500+,1013010917,Barnabas Health,RWJ Barnabas Health,42903249.56
490044,SENTARA OBICI HOSPITAL,2800 GODWIN BOULEVARD,SUFFOLK,VA,SOUTH,23439,47260,47260,OTHER (SPECIFY),URBAN,YES,2793,100-199,1376540138,Sentara Healthcare,NA,42800000
50625,CEDARS-SINAI MEDICAL CENTER,8700 BEVERLY BLVD,LOS ANGELES,CA,WEST,90048,31084,31084,OTHER (SPECIFY),URBAN,YES,3793,500+,1639172372,Cedars-Sinai Health System,NA,42337155.19
50091,COMMUNITY HOSPITAL OF HUNTINGTON PARK,2623 E SLAUSON AVE,HUNTINGTON PARK,CA,WEST,90255,31084,31084,PRIVATE (FOR PROFIT),URBAN,NO,7109,000-099,1891059127,Avanti Hospitals,Paladin Healthcare,40750000
140223,ADVOCATE LUTHERAN GENERAL HOSPITAL,1775 DEMPSTER ST,PARK RIDGE,IL,MIDWEST,60068,16974,16974,CHURCH,URBAN,YES,3425,500+,1164539730,Advocate Health Care,Advocate Health Care,40392851.6
110035,WELLSTAR KENNESTONE HOSPITAL,677 CHURCH STREET,MARIETTA,GA,SOUTH,30060,12060,12060,HOSPITAL DISTRICT OR AUTHORITY,URBAN,NO,4777,500+,1649248626,WellStar Health System,NA,39902452.5
310074,JERSEY CITY MEDICAL CENTER,355 GRAND STREET,JERSEY CITY,NJ,NORTHEAST,7302,35614,35614,PRIVATE (NOT FOR PROFIT),URBAN,YES,47543,200-299,1689744856,Barnabas Health,RWJ Barnabas Health,38871307.26
60116,GOOD SAMARITAN MEDICAL CENTER,200 EXEMPLA CIR,LAFAYETTE,CO,WEST,80026,14500,14500,PRIVATE (NOT FOR PROFIT),URBAN,NO,81464,200-299,1407845035,Sisters of Charity of Leavenworth Health System (SCL),NA,38031898.17
100287,GOOD SAMARITAN MEDICAL CENTER,1309 N FLAGLER DR,WEST PALM BEACH,FL,SOUTH,33401,48424,48424,PRIVATE (FOR PROFIT),URBAN,NO,4117,300-399,1770515991,Tenet Healthcare,Tenet Healthcare,38031898.17
220111,GOOD SAMARITAN MEDICAL CENTER,235 NORTH PEARL STREET,BROCKTON,MA,NORTHEAST,2301,14454,14454,PRIVATE (FOR PROFIT),URBAN,NO,7334,200-299,1881906337,Steward Health Care System,Steward Health Care System,38031898.17
390060,GOOD SAMARITAN MEDICAL CENTER,1020 FRANKLIN ST,JOHNSTOWN,PA,NORTHEAST,15905,27780,27780,CHURCH,URBAN,NO,NA,100-199,NA,NA,NA,38031898.17
230302,HENRY FORD WEST BLOOMFIELD HOSPITAL,6777 WEST MAPLE ROAD,WEST BLOOMFIELD,MI,MIDWEST,48322,47664,47664,PRIVATE (NOT FOR PROFIT),URBAN,YES,9471,100-199,1407867559,Henry Ford Health System,Henry Ford Health System,36764271
220077,BAYSTATE MEDICAL CENTER,759 CHESTNUT STREET,SPRINGFIELD,MA,NORTHEAST,1199,44140,44140,PRIVATE (NOT FOR PROFIT),URBAN,YES,46282,500+,1487655064,Baystate Health,NA,36299901
140150,UNIVERSITY OF ILLINOIS HOSPITAL,1740 WEST TAYLOR ST SUITE 1400,CHICAGO,IL,MIDWEST,60612,16974,16974,STATE,URBAN,YES,49473,500+,1861431751,NA,NA,35600535.76
310003,PALISADES MEDICAL CENTER,7600 RIVER RD,NORTH BERGEN,NJ,NORTHEAST,7047,35614,35614,PRIVATE (NOT FOR PROFIT),URBAN,NO,2409,200-299,1093736001,Meridian Health,Hackensack Meridian Health,35187724.41
490119,SENTARA PRINCESS ANNE HOSPITAL,2025 GLENN MITCHELL DRIVE,VIRGINIA BEACH,VA,SOUTH,23456,47260,47260,OTHER (SPECIFY),URBAN,NO,1175164,100-199,1528028396,Sentara Healthcare,NA,34550000
50038,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,SAN JOSE,CA,WEST,95128,41940,41940,LOCAL,URBAN,YES,5824,500+,1063406551,Santa Clara Valley Health & Hospital System,NA,34353323
70033,DANBURY HOSPITAL,24 HOSPITAL AVE,DANBURY,CT,NORTHEAST,6810,14860,14860,PRIVATE (NOT FOR PROFIT),URBAN,YES,306741,300-399,1548293343,Western Connecticut Health Network,NA,33719397.82
140276,LOYOLA UNIVERSITY MEDICAL CENTER,2160 S 1ST AVENUE,MAYWOOD,IL,MIDWEST,60153,16974,16974,PRIVATE (NOT FOR PROFIT),URBAN,YES,3432,500+,1376521575,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA: CHE Trinity Health),33477708.17
310027,TRINITAS REGIONAL MEDICAL CENTER,225 WILLIAMSON STREET,ELIZABETH,NJ,NORTHEAST,7207,35084,35084,PRIVATE (NOT FOR PROFIT),URBAN,YES,2422,300-399,1770583999,NA,NA,32246215.87
100038,MEMORIAL REGIONAL HOSPITAL,3501 JOHNSON ST,HOLLYWOOD,FL,SOUTH,33021,22744,22744,HOSPITAL DISTRICT OR AUTHORITY,URBAN,YES,4893,500+,1780667923,Memorial Healthcare System (FL),NA,32079642.04
390044,READING HOSPITAL,420 S 5TH AVENUE,WEST READING,PA,NORTHEAST,19611,39740,39740,PRIVATE (NOT FOR PROFIT),URBAN,YES,2727,500+,1669530069,Reading Health System,NA,31625799.28
490046,SENTARA LEIGH HOSPITAL,830 KEMPSVILLE ROAD,NORFOLK,VA,SOUTH,23502,47260,47260,OTHER (SPECIFY),URBAN,YES,10618,200-299,1811957681,Sentara Healthcare,NA,31550000
310052,OCEAN MEDICAL CENTER,425 JACK MARTIN BLVD,BRICK,NJ,NORTHEAST,8724,35614,35614,OTHER (SPECIFY),URBAN,NO,12972,400-499,1477065126,Meridian Health,Hackensack Meridian Health,31243635.05
330201,KINGSBROOK JEWISH MEDICAL CENTER,585 SCHENECTADY AVENUE,BROOKLYN,NY,NORTHEAST,11203,35614,35614,PRIVATE (NOT FOR PROFIT),URBAN,YES,10250,300-399,1356307656,NA,NA,30844021
210016,ADVENTIST HEALTHCARE WHITE OAK MEDICAL CENTER,11890 HEALING WAY,SILVER SPRING,MD,SOUTH,20904,47894,47894,PRIVATE (NOT FOR PROFIT),URBAN,NO,2734,200-299,1487650024,Adventist HealthCare (MD),NA,30650000.36
330078,SISTERS OF CHARITY HOSPITAL,2157 MAIN STREET,BUFFALO,NY,NORTHEAST,14214,15380,15380,PRIVATE (NOT FOR PROFIT),URBAN,YES,7639,400-499,1790727543,Catholic Health,NA,30203213
390223,PENN PRESBYTERIAN MEDICAL CENTER,51 NORTH 39TH STREET,PHILADELPHIA,PA,NORTHEAST,19104,37964,37964,OTHER (SPECIFY),URBAN,YES,2688,300-399,1245207521,Penn Medicine (AKA: University Of Pennsylvania Health System),Penn Medicine (AKA: University Of Pennsylvania Health System),29932245.32
310111,CENTRASTATE MEDICAL CENTER,901 WEST MAIN STREET,FREEHOLD,NJ,NORTHEAST,7728,35614,35614,PRIVATE (NOT FOR PROFIT),URBAN,YES,2440,200-299,1295718450,NA,NA,29555604.47
440039,VANDERBILT UNIVERSITY MEDICAL CENTER,1211 MEDICAL CENTER DRIVE,NASHVILLE,TN,SOUTH,37232,34980,34980,PRIVATE (NOT FOR PROFIT),URBAN,YES,54320,500+,1396882205,Vanderbilt University Medical Center System,NA,28823094.02
190039,WEST JEFFERSON MEDICAL CENTER,1101 MEDICAL CENTER BLVD,MARRERO,LA,SOUTH,70072,35380,35380,PRIVATE (NOT FOR PROFIT),URBAN,YES,5376,400-499,1265437644,Louisiana Childrens Medical Center Health System (AKA: LCMC Health),Louisiana Childrens Medical Center Health System (AKA: LCMC Health),28367163
490040,INOVA ALEXANDRIA HOSPITAL,4320 SEMINARY RD,ALEXANDRIA,VA,SOUTH,22304,47894,47894,PRIVATE (NOT FOR PROFIT),URBAN,NO,4092,300-399,1255684460,Inova Health System,Inova Health System,28237487.33
330331,PLAINVIEW HOSPITAL,888 OLD COUNTRY ROAD,PLAINVIEW,NY,NORTHEAST,11803,35004,35004,PRIVATE (NOT FOR PROFIT),URBAN,YES,6992,200-299,1083621130,Northwell Health (AKA: North Shore Long Island Jewish Health System),NA,28231538.91
110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,"550 PEACHTREE STREET,  NE",ATLANTA,GA,SOUTH,30308,12060,12060,PRIVATE (NOT FOR PROFIT),URBAN,YES,9247,400-499,1144203563,Emory Healthcare,Emory Healthcare,27824280.81
140202,ADVOCATE CONDELL MEDICAL CENTER,801 S MILWAUKEE AVE,LIBERTYVILLE,IL,MIDWEST,60048,29404,29404,PRIVATE (NOT FOR PROFIT),URBAN,NO,3421,200-299,1124272547,Advocate Health Care,Advocate Health Care,27787273.38
100093,BAPTIST HOSPITAL,1000 W MORENO ST,PENSACOLA,FL,SOUTH,32501,37860,37860,PRIVATE (NOT FOR PROFIT),URBAN,NO,2907,500+,1700979465,Baptist Health Care (Pensacola FL),NA,27751517.53
220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,NORTHEAST,2462,15764,15764,PRIVATE (NOT FOR PROFIT),URBAN,YES,7314,200-299,1992737761,Partners HealthCare,NA,27599999.8
220017,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,NORTHEAST,2124,14454,14454,PRIVATE (FOR PROFIT),URBAN,YES,7277,100-199,1427360981,Steward Health Care System,Steward Health Care System,27311984.69
330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,NORTHEAST,12601,20524,20524,PRIVATE (NOT FOR PROFIT),URBAN,NO,2568,300-399,1740233899,Health Quest,NA,26821553.58
50350,BEVERLY HOSPITAL,309 W BEVERLY BLVD,MONTEBELLO,CA,WEST,90640,31084,31084,PRIVATE (NOT FOR PROFIT),URBAN,NO,3810,200-299,1184628919,NA,NA,26720111.95
190176,TULANE MEDICAL CENTER,1415 TULANE AVE,NEW ORLEANS,LA,SOUTH,70112,35380,35380,PRIVATE (NOT FOR PROFIT),URBAN,YES,3608,500+,1497792527,HCA Mid America Division (AKA: HCA Midwest Health),Hospital Corporation of America (HCA),26431711
330181,GLEN COVE HOSPITAL,101 ST ANDREWS LANE,GLEN COVE,NY,NORTHEAST,11542,35004,35004,PRIVATE (NOT FOR PROFIT),URBAN,YES,50367,200-299,1295743060,Northwell Health (AKA: North Shore Long Island Jewish Health System),NA,26150000.44
330261,PHELPS HOSPITAL,701 N BROADWAY,SLEEPY HOLLOW,NY,NORTHEAST,10591,35614,35614,OTHER (SPECIFY),URBAN,NO,2518,200-299,1720185267,Northwell Health (AKA: North Shore Long Island Jewish Health System),NA,26123644.71
330285,STRONG MEMORIAL HOSPITAL,601 ELMWOOD AVE,ROCHESTER,NY,NORTHEAST,14642,40380,40380,PRIVATE (NOT FOR PROFIT),URBAN,YES,7677,500+,1346285657,University of Rochester Medical Center,NA,25977297.44
70034,NORWALK HOSPITAL,24 STEVENS STREET,NORWALK,CT,NORTHEAST,6856,14860,14860,PRIVATE (NOT FOR PROFIT),URBAN,YES,7481,300-399,9999999996,Western Connecticut Health Network,NA,25720159.69
50278,PROVIDENCE HOLY CROSS MEDICAL CENTER,15031 RINALDI ST,MISSION HILLS,CA,WEST,91346,31084,31084,CHURCH,URBAN,NO,6873,200-299,1477587632,Providence Health & Services - California,Providence St Joseph Health (FKA Providence Health & Services),25560762.88
230146,HENRY FORD WYANDOTTE HOSPITAL,2333 BIDDLE AVE,WYANDOTTE,MI,MIDWEST,48192,19804,19804,PRIVATE (NOT FOR PROFIT),URBAN,YES,5153,300-399,1992725352,Henry Ford Health System,Henry Ford Health System,25346055.68
140250,ADVOCATE SOUTH SUBURBAN HOSPITAL,17800 S KEDZIE AVE,HAZEL CREST,IL,MIDWEST,60429,16974,16974,CHURCH,URBAN,NO,3446,200-299,1467560128,Advocate Health Care,Advocate Health Care,25186031.39
330397,INTERFAITH MEDICAL CENTER,1545 ATLANTIC AVENUE,BROOKLYN,NY,NORTHEAST,11213,35614,35614,PRIVATE (NOT FOR PROFIT),URBAN,YES,2545,200-299,1487724712,NA,NA,24954764.19
210022,SUBURBAN HOSPITAL,8600 OLD GEORGETOWN ROAD,BETHESDA,MD,SOUTH,20814,43524,43524,PRIVATE (NOT FOR PROFIT),URBAN,NO,2735,200-299,1205896446,Johns Hopkins Health System (AKA: Johns Hopkins Medicine),NA,24850000.14
220010,LAWRENCE GENERAL HOSPITAL,ONE GENERAL STREET,LAWRENCE,MA,NORTHEAST,1842,15764,15764,PRIVATE (NOT FOR PROFIT),URBAN,NO,7235,100-199,1750381281,NA,NA,24764616
10043,CHILTON MEDICAL CENTER,1010 LAY DAM ROAD,CLANTON,AL,SOUTH,35045,13820,13820,PRIVATE (NOT FOR PROFIT),URBAN,NO,NA,000-099,NA,NA,NA,24058783.68
310017,CHILTON MEDICAL CENTER,97 WEST PARKWAY,POMPTON PLAINS,NJ,NORTHEAST,7444,35084,35084,PRIVATE (NOT FOR PROFIT),URBAN,NO,2426,200-299,1811994809,Atlantic Health System,NA,24058783.68
490057,SENTARA VIRGINIA BEACH GENERAL HOSPITAL,1060 FIRST COLONIAL ROAD,VIRGINIA BEACH,VA,SOUTH,23454,47260,47260,OTHER (SPECIFY),URBAN,YES,2794,200-299,1629038336,Sentara Healthcare,NA,23950000
490066,SENTARA WILLIAMSBURG REGIONAL MEDICAL CENTER,100 SENTARA CIRCLE,WILLIAMSBURG,VA,SOUTH,23188,47260,47260,PRIVATE (NOT FOR PROFIT),URBAN,NO,4093,100-199,1619938149,Sentara Healthcare,NA,23900000
50468,MEMORIAL HOSPITAL OF GARDENA,1145 W REDONDO BEACH BLVD,GARDENA,CA,WEST,90247,31084,31084,PRIVATE (FOR PROFIT),URBAN,NO,8765,100-199,1063412005,Avanti Hospitals,Paladin Healthcare,23700000
260020,MERCY HOSPITAL ST LOUIS,615 NEW BALLAS ROAD,SAINT LOUIS,MO,MIDWEST,63141,41180,41180,PRIVATE (NOT FOR PROFIT),URBAN,YES,6562,500+,1427098169,Mercy (MO),Mercy (MO),22877871.62
220073,MORTON HOSPITAL,88 WASHINGTON STREET,TAUNTON,MA,NORTHEAST,2780,39300,39300,PRIVATE (FOR PROFIT),URBAN,NO,7346,100-199,1598053472,Steward Health Care System,Steward Health Care System,22793508.57
110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,SOUTH,30322,12060,12060,PRIVATE (NOT FOR PROFIT),URBAN,YES,2886,500+,1588640692,Emory Healthcare,Emory Healthcare,22711835.68
330107,PECONIC BAY MEDICAL CENTER,1 HEROS WAY,RIVERHEAD,NY,NORTHEAST,11901,35004,35004,PRIVATE (NOT FOR PROFIT),URBAN,YES,4044,100-199,1386649804,Northwell Health (AKA: North Shore Long Island Jewish Health System),NA,22129756
330125,ROCHESTER GENERAL HOSPITAL,1425 PORTLAND AVENUE,ROCHESTER,NY,NORTHEAST,14621,40380,40380,PRIVATE (NOT FOR PROFIT),URBAN,YES,7678,500+,1255360517,Rochester Regional Health System,NA,22124717.84
